Day,"Campaign ID","Campaign name","Ad set ID","Ad Set Name","Ad ID","Ad name",Objective,Region,"Delivery status","Delivery level","Attribution setting",Reach,Impressions,Frequency,"Amount spent (NZD)","Link clicks","CPM (cost per 1,000 impressions)","CPC (cost per link click)","CTR (all)","Video plays at 25%","Reporting starts","Reporting ends"
2025-07-13,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Southland,active,ad,"7-day click or 1-day view",13,13,1,0.06,,4.61538462,,7.69230769,,2025-07-13,2025-07-13
2025-07-13,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Marlborough Region",active,ad,"7-day click or 1-day view",3,3,1,0.02,,6.66666667,,0,,2025-07-13,2025-07-13
2025-07-13,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Nelson Province",active,ad,"7-day click or 1-day view",7,7,1,0.04,,5.71428571,,0,,2025-07-13,2025-07-13
2025-07-13,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Otago,active,ad,"7-day click or 1-day view",14,14,1,0.08,,5.71428571,,0,,2025-07-13,2025-07-13
2025-07-13,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Hawke's Bay",active,ad,"7-day click or 1-day view",12,13,1.08333333,0.08,1,6.15384615,0.08,7.69230769,,2025-07-13,2025-07-13
2025-07-13,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Taranaki,active,ad,"7-day click or 1-day view",13,15,1.15384615,0.11,1,7.33333333,0.11,6.66666667,,2025-07-13,2025-07-13
2025-07-13,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Wellington Region",active,ad,"7-day click or 1-day view",174,198,1.13793103,1.14,2,5.75757576,0.57,1.01010101,,2025-07-13,2025-07-13
2025-07-13,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Auckland Region",active,ad,"7-day click or 1-day view",1296,1434,1.10648148,7.66,46,5.34170153,0.16652174,4.0446304,,2025-07-13,2025-07-13
2025-07-13,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Waikato,active,ad,"7-day click or 1-day view",142,156,1.09859155,0.78,7,5,0.11142857,5.12820513,,2025-07-13,2025-07-13
2025-07-13,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Canterbury,active,ad,"7-day click or 1-day view",101,111,1.0990099,0.54,2,4.86486486,0.27,2.7027027,,2025-07-13,2025-07-13
2025-07-13,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Manawatu-Wanganui,active,ad,"7-day click or 1-day view",44,50,1.13636364,0.29,2,5.8,0.145,8,,2025-07-13,2025-07-13
2025-07-13,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Northland Region",active,ad,"7-day click or 1-day view",21,22,1.04761905,0.15,1,6.81818182,0.15,4.54545455,,2025-07-13,2025-07-13
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Southland,active,ad,"7-day click or 1-day view",9,10,1.11111111,0.03,,3,,0,,2025-07-12,2025-07-12
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"West Coast",active,ad,"7-day click or 1-day view",5,7,1.4,0.04,,5.71428571,,0,,2025-07-12,2025-07-12
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Gisborne District",active,ad,"7-day click or 1-day view",3,3,1,0.01,,3.33333333,,0,,2025-07-12,2025-07-12
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Northland Region",active,ad,"7-day click or 1-day view",18,19,1.05555556,0.14,,7.36842105,,0,,2025-07-12,2025-07-12
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Nelson Province",active,ad,"7-day click or 1-day view",5,5,1,0.01,,2,,0,,2025-07-12,2025-07-12
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Taranaki,active,ad,"7-day click or 1-day view",20,21,1.05,0.09,,4.28571429,,0,,2025-07-12,2025-07-12
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Hawke's Bay",active,ad,"7-day click or 1-day view",11,12,1.09090909,0.05,,4.16666667,,0,,2025-07-12,2025-07-12
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Marlborough Region",active,ad,"7-day click or 1-day view",2,2,1,0.01,,5,,0,,2025-07-12,2025-07-12
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Canterbury,active,ad,"7-day click or 1-day view",81,93,1.14814815,0.64,5,6.88172043,0.128,9.67741935,,2025-07-12,2025-07-12
