Day,"Campaign ID","Campaign name","Ad set ID","Ad Set Name","Ad ID","Ad name",Objective,Region,"Delivery status","Delivery level","Attribution setting",Reach,Impressions,Frequency,"Amount spent (NZD)","Link clicks","CPM (cost per 1,000 impressions)","CPC (cost per link click)","CTR (all)","Video plays at 25%","Reporting starts","Reporting ends"
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,"Bay of Plenty Region",inactive,ad,"7-day click or 1-day view",2,2,1,0.01,,5,,0,,2025-06-22,2025-06-22
2025-06-22,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Gisborne District",inactive,ad,"7-day click or 1-day view",2,2,1,0,,0,,0,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,"Gisborne District",inactive,ad,"7-day click or 1-day view",1,1,1,0,,0,,0,,2025-06-22,2025-06-22
2025-06-22,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Waikato,inactive,ad,"7-day click or 1-day view",26,33,1.26923077,0.31,2,9.39393939,0.155,6.06060606,,2025-06-22,2025-06-22
2025-06-22,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Canterbury,inactive,ad,"7-day click or 1-day view",20,20,1,0.11,,5.5,,0,,2025-06-22,2025-06-22
2025-06-22,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Unknown,inactive,ad,"7-day click or 1-day view",1,1,1,0.02,,20,,0,,2025-06-22,2025-06-22
2025-06-22,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Marlborough Region",inactive,ad,"7-day click or 1-day view",1,1,1,0.01,,10,,0,,2025-06-22,2025-06-22
2025-06-22,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Tasman District",inactive,ad,"7-day click or 1-day view",1,1,1,0.01,,10,,0,,2025-06-22,2025-06-22
2025-06-22,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Southland,inactive,ad,"7-day click or 1-day view",6,6,1,0.08,,13.33333333,,0,,2025-06-22,2025-06-22
2025-06-22,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Northland Region",inactive,ad,"7-day click or 1-day view",5,5,1,0.05,,10,,0,,2025-06-22,2025-06-22
2025-06-22,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Wellington Region",inactive,ad,"7-day click or 1-day view",40,46,1.15,0.38,,8.26086957,,0,,2025-06-22,2025-06-22
2025-06-22,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Nelson Province",inactive,ad,"7-day click or 1-day view",2,2,1,0.02,,10,,0,,2025-06-22,2025-06-22
2025-06-22,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Hawke's Bay",inactive,ad,"7-day click or 1-day view",3,4,1.33333333,0.03,,7.5,,0,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,Taranaki,inactive,ad,"7-day click or 1-day view",2,2,1,0,,0,,0,,2025-06-22,2025-06-22
2025-06-22,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Taranaki,inactive,ad,"7-day click or 1-day view",2,5,2.5,0.09,,18,,0,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,Waikato,inactive,ad,"7-day click or 1-day view",10,12,1.2,0.07,,5.83333333,,0,,2025-06-22,2025-06-22
2025-06-22,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Manawatu-Wanganui,inactive,ad,"7-day click or 1-day view",7,7,1,0.12,,17.14285714,,0,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,Otago,inactive,ad,"7-day click or 1-day view",1,1,1,0.01,,10,,0,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Tasman District",active,ad,"7-day click or 1-day view",2,2,1,0.02,,10,,0,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Canterbury,active,ad,"7-day click or 1-day view",97,103,1.06185567,0.56,3,5.4368932,0.18666667,2.91262136,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,"West Coast",inactive,ad,"7-day click or 1-day view",1,2,2,0.02,1,10,0.02,50,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Auckland Region",active,ad,"7-day click or 1-day view",1131,1261,1.11494253,6.69,59,5.30531324,0.11338983,5.55114988,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Unknown,active,ad,"7-day click or 1-day view",1,2,2,0.02,2,10,0.01,100,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Otago,active,ad,"7-day click or 1-day view",18,22,1.22222222,0.13,2,5.90909091,0.065,9.09090909,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"West Coast",active,ad,"7-day click or 1-day view",1,1,1,0.02,1,20,0.02,100,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Wellington Region",active,ad,"7-day click or 1-day view",161,178,1.10559006,1.09,5,6.12359551,0.218,2.80898876,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Bay of Plenty Region",active,ad,"7-day click or 1-day view",34,39,1.14705882,0.2,2,5.12820513,0.1,7.69230769,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Waikato,active,ad,"7-day click or 1-day view",140,158,1.12857143,0.86,8,5.44303797,0.1075,6.32911392,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Nelson Province",active,ad,"7-day click or 1-day view",4,4,1,0.01,,2.5,,0,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Marlborough Region",active,ad,"7-day click or 1-day view",1,1,1,0,,0,,0,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Manawatu-Wanganui,active,ad,"7-day click or 1-day view",40,46,1.15,0.24,,5.2173913,,0,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,Canterbury,inactive,ad,"7-day click or 1-day view",8,9,1.125,0.05,1,5.55555556,0.05,22.22222222,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,"Wellington Region",inactive,ad,"7-day click or 1-day view",11,11,1,0.11,3,10,0.03666667,45.45454545,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,"Auckland Region",inactive,ad,"7-day click or 1-day view",61,68,1.1147541,0.42,5,6.17647059,0.084,8.82352941,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Taranaki,active,ad,"7-day click or 1-day view",12,13,1.08333333,0.05,,3.84615385,,0,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Northland Region",active,ad,"7-day click or 1-day view",14,16,1.14285714,0.12,,7.5,,0,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Southland,active,ad,"7-day click or 1-day view",10,11,1.1,0.03,,2.72727273,,0,,2025-06-22,2025-06-22
2025-06-22,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Hawke's Bay",active,ad,"7-day click or 1-day view",12,12,1,0.08,,6.66666667,,0,,2025-06-22,2025-06-22
2025-06-21,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Auckland Region",inactive,ad,"7-day click or 1-day view",160,198,1.2375,3.43,7,17.32323232,0.49,4.54545455,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,"Hawke's Bay",inactive,ad,"7-day click or 1-day view",2,2,1,0,,0,,0,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,"Wellington Region",inactive,ad,"7-day click or 1-day view",8,8,1,0.05,,6.25,,0,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,"Gisborne District",inactive,ad,"7-day click or 1-day view",2,2,1,0.02,,10,,0,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,Waikato,inactive,ad,"7-day click or 1-day view",4,4,1,0.01,,2.5,,0,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,Manawatu-Wanganui,inactive,ad,"7-day click or 1-day view",2,2,1,0,,0,,0,,2025-06-21,2025-06-21
2025-06-21,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Wellington Region",inactive,ad,"7-day click or 1-day view",14,16,1.14285714,0.3,1,18.75,0.3,6.25,,2025-06-21,2025-06-21
2025-06-21,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Waikato,inactive,ad,"7-day click or 1-day view",16,18,1.125,0.33,1,18.33333333,0.33,5.55555556,,2025-06-21,2025-06-21
2025-06-21,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Manawatu-Wanganui,inactive,ad,"7-day click or 1-day view",4,4,1,0.01,,2.5,,0,,2025-06-21,2025-06-21
2025-06-21,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Hawke's Bay",inactive,ad,"7-day click or 1-day view",2,2,1,0.01,,5,,0,,2025-06-21,2025-06-21
2025-06-21,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Taranaki,inactive,ad,"7-day click or 1-day view",3,3,1,0.02,,6.66666667,,0,,2025-06-21,2025-06-21
2025-06-21,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Northland Region",inactive,ad,"7-day click or 1-day view",2,2,1,0,,0,,0,,2025-06-21,2025-06-21
2025-06-21,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Gisborne District",inactive,ad,"7-day click or 1-day view",3,3,1,0.01,,3.33333333,,0,,2025-06-21,2025-06-21
2025-06-21,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Bay of Plenty Region",inactive,ad,"7-day click or 1-day view",4,4,1,0.03,,7.5,,0,,2025-06-21,2025-06-21
2025-06-21,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Canterbury,inactive,ad,"7-day click or 1-day view",14,15,1.07142857,0.09,,6,,0,,2025-06-21,2025-06-21
2025-06-21,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Otago,inactive,ad,"7-day click or 1-day view",4,4,1,0.05,,12.5,,25,,2025-06-21,2025-06-21
2025-06-21,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Southland,inactive,ad,"7-day click or 1-day view",4,6,1.5,0.02,,3.33333333,,0,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,Canterbury,inactive,ad,"7-day click or 1-day view",3,3,1,0,,0,,0,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,Southland,inactive,ad,"7-day click or 1-day view",1,1,1,0,,0,,0,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,"Auckland Region",inactive,ad,"7-day click or 1-day view",41,45,1.09756098,0.33,3,7.33333333,0.11,8.88888889,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Waikato,active,ad,"7-day click or 1-day view",104,114,1.09615385,0.51,3,4.47368421,0.17,3.50877193,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Unknown,active,ad,"7-day click or 1-day view",1,1,1,0.01,,10,,0,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Northland Region",active,ad,"7-day click or 1-day view",13,14,1.07692308,0.11,1,7.85714286,0.11,7.14285714,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Wellington Region",active,ad,"7-day click or 1-day view",159,185,1.16352201,1.06,9,5.72972973,0.11777778,5.40540541,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Southland,active,ad,"7-day click or 1-day view",5,5,1,0.03,1,6,0.03,20,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Hawke's Bay",active,ad,"7-day click or 1-day view",17,19,1.11764706,0.1,1,5.26315789,0.1,5.26315789,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Taranaki,active,ad,"7-day click or 1-day view",8,8,1,0.05,1,6.25,0.05,25,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Auckland Region",active,ad,"7-day click or 1-day view",971,1074,1.10607621,5.78,47,5.38175047,0.12297872,5.2141527,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Canterbury,active,ad,"7-day click or 1-day view",69,79,1.14492754,0.44,7,5.56962025,0.06285714,10.12658228,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Manawatu-Wanganui,active,ad,"7-day click or 1-day view",27,28,1.03703704,0.16,2,5.71428571,0.08,7.14285714,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Marlborough Region",active,ad,"7-day click or 1-day view",2,2,1,0.01,,5,,50,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Nelson Province",active,ad,"7-day click or 1-day view",4,5,1.25,0.03,,6,,0,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"West Coast",active,ad,"7-day click or 1-day view",5,5,1,0.06,,12,,0,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Gisborne District",active,ad,"7-day click or 1-day view",3,4,1.33333333,0.04,,10,,0,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Otago,active,ad,"7-day click or 1-day view",10,12,1.2,0.05,,4.16666667,,0,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Tasman District",active,ad,"7-day click or 1-day view",1,1,1,0,,0,,0,,2025-06-21,2025-06-21
2025-06-21,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Bay of Plenty Region",active,ad,"7-day click or 1-day view",26,27,1.03846154,0.14,,5.18518519,,0,,2025-06-21,2025-06-21
2025-06-20,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,Taranaki,inactive,ad,"7-day click or 1-day view",2,2,1,0.02,,10,,0,,2025-06-20,2025-06-20
2025-06-20,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Auckland Region",inactive,ad,"7-day click or 1-day view",243,298,1.22633745,4.41,15,14.79865772,0.294,4.69798658,,2025-06-20,2025-06-20
2025-06-20,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Waikato,inactive,ad,"7-day click or 1-day view",23,29,1.26086957,0.46,1,15.86206897,0.46,6.89655172,,2025-06-20,2025-06-20
2025-06-20,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Wellington Region",inactive,ad,"7-day click or 1-day view",18,20,1.11111111,0.21,2,10.5,0.105,10,,2025-06-20,2025-06-20
2025-06-20,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,"Bay of Plenty Region",inactive,ad,"7-day click or 1-day view",6,6,1,0.02,,3.33333333,,0,,2025-06-20,2025-06-20
2025-06-20,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,"Nelson Province",inactive,ad,"7-day click or 1-day view",1,1,1,0,,0,,0,,2025-06-20,2025-06-20
2025-06-20,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,Southland,inactive,ad,"7-day click or 1-day view",2,2,1,0.04,,20,,0,,2025-06-20,2025-06-20
2025-06-20,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227935262190154,Always_On_Plus_Size_Suits,LINK_CLICKS,"West Coast",inactive,ad,"7-day click or 1-day view",2,2,1,0.03,,15,,0,,2025-06-20,2025-06-20
2025-06-20,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Nelson Province",inactive,ad,"7-day click or 1-day view",1,1,1,0,,0,,0,,2025-06-20,2025-06-20
2025-06-20,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Otago,inactive,ad,"7-day click or 1-day view",7,7,1,0.09,1,12.85714286,0.09,28.57142857,,2025-06-20,2025-06-20
2025-06-20,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120227006132360154,video_ad_roshni_voice_over,LINK_CLICKS,Waikato,inactive,ad,"7-day click or 1-day view",1,1,1,0.01,,10,,0,,2025-06-20,2025-06-20
2025-06-20,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Northland Region",inactive,ad,"7-day click or 1-day view",2,2,1,0.02,,10,,0,,2025-06-20,2025-06-20
2025-06-20,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Hawke's Bay",inactive,ad,"7-day click or 1-day view",2,2,1,0.04,,20,,0,,2025-06-20,2025-06-20
2025-06-20,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,"Bay of Plenty Region",inactive,ad,"7-day click or 1-day view",7,7,1,0.04,,5.71428571,,0,,2025-06-20,2025-06-20
2025-06-20,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Canterbury,inactive,ad,"7-day click or 1-day view",20,21,1.05,0.17,,8.0952381,,0,,2025-06-20,2025-06-20
2025-06-20,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120223368010630154,new_stock_traffic_insta_facebook_feed,LINK_CLICKS,Taranaki,inactive,ad,"7-day click or 1-day view",3,4,1.33333333,0.03,,7.5,,0,,2025-06-20,2025-06-20
